,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
14942,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Duet,Silver
14944,China,CHN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Shot Put,Silver
14946,France,FRA,1976 Summer,1976,Summer,Montreal,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
14951,France,FRA,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's epee, Team",Gold
14952,Austria,AUT,1960 Summer,1960,Summer,Roma,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Gold
14957,Austria,AUT,1980 Winter,1980,Winter,Lake Placid,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",Silver
14958,Austria,AUT,1968 Summer,1968,Summer,Mexico City,Sailing,Sailing Mixed One Person Dinghy,Silver
14959,Austria,AUT,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed Two Person Keelboat,Silver
14961,Austria,AUT,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Combined,Gold
14962,Austria,AUT,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Silver
14964,France,FRA,1948 Summer,1948,Summer,London,Art Competitions,"Art Competitions Mixed Sculpturing, Statues",Bronze
14965,Poland,POL,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Light-Flyweight,Bronze
14968,United States,USA,1952 Summer,1952,Summer,Helsinki,Shooting,"Shooting Men's Free Pistol, 50 metres",Gold
14969,Great Britain,GBR,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxless Fours,Silver
14976,Great Britain,GBR,1908 Summer,1908,Summer,London,Boxing,Boxing Men's Featherweight,Bronze
14977,United States,GBR,1900 Summer,1900,Summer,Paris,Tennis,Tennis Mixed Doubles,Bronze
14978,Great Britain,GBR,1900 Summer,1900,Summer,Paris,Tennis,Tennis Men's Singles,Gold
14979,Great Britain,GBR,1900 Summer,1900,Summer,Paris,Tennis,Tennis Men's Doubles,Gold
14983,Great Britain,GBR,1932 Summer,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxless Pairs,Gold
14984,Great Britain,GBR,1932 Summer,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxless Fours,Gold
14986,Ireland,IRL,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Flyweight,Bronze
14995,Switzerland,SUI,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze
14997,Italy,ITA,1994 Winter,1994,Winter,Lillehammer,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
14998,Finland,FIN,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's Pentathlon,Bronze
15000,Russia,RUS,1912 Summer,1912,Summer,Stockholm,Rowing,Rowing Men's Single Sculls,Bronze
15001,United States,USA,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's Long Jump,Bronze
15004,Germany,GER,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Men's Coxless Pairs,Gold
15006,France,FRA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Breaststroke,Bronze
15007,France,FRA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Breaststroke,Bronze
15008,France,FRA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
15010,France,FRA,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Men's epee, Individual",Silver
15011,France,FRA,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Men's epee, Team",Silver
15014,Mexico,MEX,1948 Summer,1948,Summer,London,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Bronze
15015,Mexico,MEX,1948 Summer,1948,Summer,London,Equestrianism,"Equestrianism Men's Jumping, Individual",Gold
15017,Argentina,ARG,1952 Summer,1952,Summer,Helsinki,Weightlifting,Weightlifting Men's Heavyweight,Bronze
15018,Argentina,ARG,1956 Summer,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Heavyweight,Silver
15021,China,CHN,2008 Summer,2008,Summer,Beijing,Diving,Diving Men's Synchronized Platform,Gold
15026,Norway,NOR,2010 Winter,2010,Winter,Vancouver,Speed Skating,"Speed Skating Men's 1,500 metres",Bronze
15027,Norway,NOR,2014 Winter,2014,Winter,Sochi,Nordic Combined,Nordic Combined Men's Team,Gold
15030,South Korea,KOR,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Women's Welterweight,Bronze
15031,South Korea,KOR,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Women's Welterweight,Gold
15032,South Korea,KOR,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Women's Welterweight,Gold
15033,North Korea,PRK,1972 Summer,1972,Summer,Munich,Volleyball,Volleyball Women's Volleyball,Bronze
15034,South Korea-2,KOR,1992 Summer,1992,Summer,Barcelona,Badminton,Badminton Women's Doubles,Gold
15035,South Korea,KOR,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Half-Lightweight,Silver
15036,South Korea-1,KOR,2008 Summer,2008,Summer,Beijing,Badminton,Badminton Men's Doubles,Bronze
15038,North Korea,PRK,1992 Winter,1992,Winter,Albertville,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,Bronze
15040,South Korea,KOR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Marathon,Gold
15041,South Korea,KOR,1992 Summer,1992,Summer,Barcelona,Table Tennis,Table Tennis Women's Singles,Bronze
15043,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Table Tennis,Table Tennis Women's Doubles,Gold
15044,South Korea,KOR,1996 Summer,1996,Summer,Atlanta,Judo,Judo Women's Half-Lightweight,Silver
15045,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Athletics,"Athletics Men's 1,500 metres",Bronze
15047,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Heptathlon,Silver
15048,Kenya,KEN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 3,000 metres Steeplechase",Silver
15050,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Men's One Person Dinghy,Gold
15053,Australia,AUS,2012 Summer,2012,Summer,London,Sailing,Sailing Men's Skiff,Gold
15054,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's Skiff,Silver
15056,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Men's 400 metres Freestyle,Gold
15057,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold
15059,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 400 metres Freestyle,Gold
15060,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver
15061,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
15062,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
15068,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Mixed Skiff,Silver
15070,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
15071,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
15072,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
15074,New Zealand,NZL,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Gold
15080,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
15082,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle,Bronze
15083,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 400 metres Freestyle,Gold
15086,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Freestyle,Gold
15087,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 400 metres Freestyle,Gold
15088,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Freestyle,Silver
15091,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Men's Two Person Dinghy,Silver
15092,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Mixed Two Person Keelboat,Silver
15097,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Butterfly,Silver
15098,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
15100,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Shooting,Shooting Men's Trap,Silver
15101,New Zealand,NZL,1968 Summer,1968,Summer,Mexico City,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",Bronze
15102,Australia,AUS,1976 Summer,1976,Summer,Montreal,Sailing,Sailing Mixed Two Person Dinghy,Bronze
15104,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 5,000 metres",Bronze
15107,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Bronze
15109,Denmark,DEN,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxless Pairs,Bronze
15111,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Women's High Jump,Gold
15112,Belarus,BLR,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Bronze
15113,Kenya,KEN,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Flyweight,Bronze
15115,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Long Jump,Bronze
15117,Egypt,EGY,1936 Summer,1936,Summer,Berlin,Weightlifting,Weightlifting Men's Featherweight,Bronze
15118,Egypt,EGY,1948 Summer,1948,Summer,London,Weightlifting,Weightlifting Men's Lightweight,Gold
15119,Iran,IRI,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Bronze
15120,Egypt,EGY,1928 Summer,1928,Summer,Amsterdam,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold
15121,Egypt,EGY,1948 Summer,1948,Summer,London,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
15122,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
15123,Cuba,CUB,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
15125,Japan,JPN,1920 Summer,1920,Summer,Antwerpen,Tennis,Tennis Men's Singles,Silver
15126,Japan,JPN,1920 Summer,1920,Summer,Antwerpen,Tennis,Tennis Men's Doubles,Silver
15131,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's Team Sprint,Bronze
15135,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Heavyweight,Bronze
15136,Cuba,CUB,2012 Summer,2012,Summer,London,Judo,Judo Women's Heavyweight,Gold
15137,Cuba,CUB,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Heavyweight,Silver
15139,Netherlands,NED,1998 Winter,1998,Winter,Nagano,Speed Skating,"Speed Skating Men's 1,000 metres",Gold
15140,Netherlands,NED,1998 Winter,1998,Winter,Nagano,Speed Skating,"Speed Skating Men's 1,500 metres",Silver
15144,France,FRA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Decathlon,Silver
15153,Italy,ITA,1952 Summer,1952,Summer,Helsinki,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
15154,Italy,ITA,1956 Summer,1956,Summer,Melbourne,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
15162,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Shooting,"Shooting Mixed Running Target, 50 metres",Gold
15163,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's High Jump,Bronze
15164,Soviet Union,URS,1984 Winter,1984,Winter,Sarajevo,Speed Skating,"Speed Skating Men's 10,000 metres",Gold
15165,Soviet Union,URS,1984 Winter,1984,Winter,Sarajevo,Speed Skating,"Speed Skating Men's 5,000 metres",Silver
15177,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Long Jump,Bronze
15178,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Long Jump,Bronze
15180,Italy,ITA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
15186,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Heavyweight I,Silver
15187,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
15188,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Pole Vault,Silver
15189,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Pole Vault,Silver
15192,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's Two Person Dinghy,Gold
15193,Belarus,BLR,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Air Pistol, 10 metres",Bronze
15194,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Men's Free Pistol, 50 metres",Bronze
15195,Belarus,BLR,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Free Pistol, 50 metres",Silver
15196,Belarus,BLR,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Free Pistol, 50 metres",Silver
15203,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Backstroke,Bronze
15205,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Backstroke,Gold
15206,Soviet Union,URS,1964 Winter,1964,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,Bronze
15208,Soviet Union,URS,1988 Winter,1988,Winter,Calgary,Speed Skating,"Speed Skating Men's 1,000 metres",Bronze
15209,Belarus,BLR,1994 Winter,1994,Winter,Lillehammer,Speed Skating,"Speed Skating Men's 1,000 metres",Silver
15213,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Modern Pentathlon,Modern Pentathlon Men's Individual,Silver
15214,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Triple Jump,Silver
15216,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
15218,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxless Pairs,Silver
15221,Belarus,BLR,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Half-Heavyweight,Gold
15226,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
15232,Belarus,BLR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Hammer Throw,Bronze
15233,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Hammer Throw,Silver
15235,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Hammer Throw,Bronze
15238,Latvia,LAT,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Floor Exercise,Gold
15239,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Heavyweight,Silver
15242,Ukraine,UKR,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Men's Two Person Dinghy,Gold
15243,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Lightweight,Gold
15245,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Men's Parallel Bars,Bronze
15247,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold
15248,Ukraine,UKR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Bronze
15249,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
15250,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
15253,Finland,FIN,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's Team Sprint,Gold
15254,Spain,ESP,2004 Summer,2004,Summer,Athina,Sailing,Sailing Mixed Skiff,Gold
15255,Spain,ESP,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Mixed Skiff,Silver
15257,Uzbekistan,UZB,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze
15259,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Bronze
15262,Italy,ITA,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Team,Silver
15263,Italy,ITA,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Team,Silver
15265,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Women's Foil, Team",Silver
15266,Hungary,HUN,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Women's Foil, Individual",Silver
15267,Hungary,HUN,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Women's Foil, Team",Silver
15268,Hungary,HUN,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Women's epee, Individual",Bronze
15271,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Women's Foil, Individual",Bronze
15273,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Women's Foil, Individual",Gold
15274,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Women's Foil, Team",Gold
15281,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Women's Foil, Individual",Gold
15285,Romania,ROU,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 800 metres,Silver
15288,Greece,GRE,2012 Summer,2012,Summer,London,Judo,Judo Men's Middleweight,Bronze
15289,Greece,GRE,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Half-Middleweight,Gold
15290,Greece,GRE,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed One Person Dinghy,Silver
15292,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
15293,Yugoslavia,YUG,1988 Summer,1988,Summer,Seoul,Table Tennis,Table Tennis Men's Doubles,Silver
15295,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Half-Lightweight,Bronze
15297,Germany,GER,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Discus Throw,Gold
15298,Finland,FIN,1952 Summer,1952,Summer,Helsinki,Boxing,Boxing Men's Heavyweight,Bronze
15299,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Gold
15300,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Diving,Diving Men's Synchronized Springboard,Bronze
15303,Finland,FIN,1936 Summer,1936,Summer,Berlin,Athletics,"Athletics Men's 10,000 metres",Gold
15306,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Fencing,"Fencing Women's Foil, Individual",Gold
15307,Hungary,HUN,1948 Summer,1948,Summer,London,Fencing,"Fencing Women's Foil, Individual",Gold
15308,Hungary,HUN,1952 Summer,1952,Summer,Helsinki,Fencing,"Fencing Women's Foil, Individual",Silver
15310,Russia,RUS,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Bronze
15312,Austria,AUT,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's High Jump,Bronze
15314,Hungary,HUN,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
15317,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's Shot Put,Gold
15318,Germany,GER,1964 Winter,1964,Winter,Innsbruck,Luge,Luge Women's Singles,Silver
15319,Belgium,BEL,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Half-Lightweight,Bronze
15320,East Germany,GDR,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
15321,Finland,FIN,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Javelin Throw,Silver
15322,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Lightweight Double Sculls,Gold
15326,Kazakhstan,KAZ,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Middle-Heavyweight,Gold
15327,Kazakhstan,KAZ,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Middle-Heavyweight,Gold
15328,Russia,RUS,1998 Winter,1998,Winter,Nagano,Figure Skating,Figure Skating Men's Singles,Gold
15330,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Bronze
15331,Russia,RUS,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Bronze
15332,Russia-1,RUS,2002 Winter,2002,Winter,Salt Lake City,Figure Skating,Figure Skating Mixed Ice Dancing,Silver
15333,Russia,RUS,2012 Summer,2012,Summer,London,Diving,Diving Men's Springboard,Gold
15334,Russia,RUS,2012 Summer,2012,Summer,London,Diving,Diving Men's Synchronized Springboard,Silver
15337,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 20 kilometres Walk,Silver
15342,South Korea,KOR,2012 Summer,2012,Summer,London,Archery,Archery Men's Team,Bronze
15343,South Korea,KOR,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Team,Gold
